site_id,registry_id,bnrrm_site_name,bc_csr_site_name,region,waterbody,latitude,longitude,coordinate_source,coordinate_quality_tier,n_stations,n_stations_geocoded_before_pr_map_0,n_stations_geocoded_after_pr_map_0,n_reference,n_impacted_explicit,n_sampling_or_unknown,sediment_chem_rows
1,9930,Woodfibre (Former Squamish Pulp Mill),"WOODFIBRE MILL NEAR SQUAMISH, SQUAMISH",Sea-to-Sky,Howe Sound,49.666858,-123.253600,bc_csr_centroid,medium,198,0,198,8,14,176,7233
2,0311,CP Nelson Yard (Hall Mines Smelter),CP RAIL YARD-NELSON,Kootenay,Kootenay Lake,49.491056,-117.300972,bc_csr_centroid,medium,8,8,8,2,6,0,56
3,4205,Island Copper Mine (Foreshore),BHP MINERALS ISLAND COPPER MINE SITE,Vancouver Island North,Rupert Inlet / Pacific Ocean,50.597253,-127.501833,bc_csr_centroid,medium,15,0,15,1,14,0,105
4,15125,Blue Water (855 Centennial Road),"855 CENTENNIAL ROAD, VANCOUVER",Lower Mainland,Burrard Inlet,49.283644,-123.085022,bc_csr_centroid,medium,24,0,24,1,23,0,110
5,3130,"IOCO Shoreline (2225 Ioco Road, Port Moody)",IOCO LANDS (INCLUDING FORMER REFINERY),Lower Mainland,Burrard Inlet,49.304694,-122.876611,bc_csr_centroid,medium,6,6,6,0,6,0,48
6,15184,Toquaht Bay Marina and Campground,TOQUAHT BAY MARINA AND CAMPGROUND,Vancouver Island,Toquaht Bay,49.019444,-125.359444,bc_csr_centroid,medium,20,20,20,0,20,0,140
7,0331,"Rio Tinto BC Works (ALCAN Smelter), Kitimat","1 SMELTERSITE RD, ALCAN SMELTERS KITIMAT",North Coast,Kitimat Arm / Yacht Basin,54.015611,-128.691222,bc_csr_centroid,medium,5,0,5,0,5,0,44
8,16029,Hercules Forwarding ULC (Brunette River),"12270 102ND AVENUE, SURREY",Metro Vancouver,Brunette River,49.188133,-122.868647,bc_csr_centroid,medium,6,6,6,2,4,0,48
9,5668,Pinchi Lake Mercury Mine,"PINCHI MINE, FORT ST JAMES",Central BC,Pinchi Lake,54.627231,-124.432461,bc_csr_centroid,medium,8,0,8,1,7,0,63
10,8859,8859,THE WINROC CORPORATION,,,49.178611,-122.688889,bc_csr_centroid,medium,0,0,0,0,0,0,0
11,1419,1419 Versatile,VERSATILE SHIPYARDS - 21 WALLACE MEWS,,,49.309194,-123.077278,bc_csr_centroid,medium,73,0,73,0,0,73,13
12,4084,4084 Cordova Bay Shell,"PAYLESS #28-5146 CORDOVA BAY RD, SAANICH",,,48.523194,-123.368028,bc_csr_centroid,medium,14,0,14,0,0,14,8
13,0141,0141 Nexen,FORMER CANADIAN OCCIDENTAL/NEXEN PLANT,,,49.687583,-123.162639,bc_csr_centroid,medium,34,0,34,0,0,34,1
14,12046,12046,CATALYST PAPER ELK FALLS MILL,,,50.070000,-125.282222,bc_csr_centroid,medium,0,0,0,0,0,0,0
15,1210,1210 GREYSTONE,FORMER FULLERTON LUMBER CO PROPERTY,,,49.315336,-123.098061,bc_csr_centroid,medium,0,0,0,0,0,0,0
16,20000,20000,"21 WALLACE MEWS, NORTH VANCOUVER",,,49.308842,-123.078464,bc_csr_centroid,medium,22,0,22,0,0,22,19
17,2452,2452,ALPHA MANUFACTURING/BURNS DEVELOPMENT,,,49.149278,-122.984722,bc_csr_centroid,medium,16,0,16,0,0,16,0
18,3250,3250 Trail WAS,"25 ALDRIDGE AVENUE, TRAIL",,,49.103972,-117.724556,bc_csr_centroid,medium,21,0,21,0,0,21,3
19,18374,18374,"2311,2381&2499(FORM 2425 BETA AVE),BURN",,,49.262906,-122.998600,bc_csr_centroid,medium,0,0,0,0,0,0,0
20,3128,3128,SCAFE REFUSE LAGOON - MILLSTREAM,,,48.481556,-123.506694,bc_csr_centroid,medium,441,0,441,0,0,441,669
21,7383,7383 Burquitlam Plaza,BURQUITLAM PLAZA; 526 - 572 CLARKE ROAD,,,49.260500,-122.889194,bc_csr_centroid,medium,0,0,0,0,0,0,0
22,9734,9734,"HEXION SPECIALTY CHEMICALS, VANCOUVER",,,49.204500,-123.143500,bc_csr_centroid,medium,10,0,10,0,0,10,0
23,0804,0804,ESSO SERVICE STATION AND 7-11 GAS BAR,,,49.233833,-123.115611,bc_csr_centroid,medium,1,0,1,0,0,1,1
24,20692,20692,"1387 DEWDNEY AVE. 1080 SPOKANE ST, TRAIL",,,49.095833,-117.706278,bc_csr_centroid,medium,88,0,88,0,0,88,491
25,22051,22051,"1520, 1524, 1530 AND 1558 W. 6TH AVE VAN",,,49.266000,-123.139556,bc_csr_centroid,medium,0,0,0,0,0,0,0
26,11762,11762,"NORDEL CENTRE 11146 - 84TH AVENUE, DELTA",,,49.155583,-122.913653,bc_csr_centroid,medium,0,0,0,0,0,0,0
27,3773,3773,WILLS OIL CO LTD.,,,49.283358,-123.092578,bc_csr_centroid,medium,39,0,39,0,0,39,0
28,16829,16829,ROADWAY ADJACENT TO 8099 NORDEL WAY,,,49.145400,-122.942881,bc_csr_centroid,medium,87,0,87,0,0,87,0
29,7839,7839,50 ELECTRONIC AVE & 3115 MURRAY ST,,,49.278467,-122.840558,bc_csr_centroid,medium,174,0,174,0,0,174,514
30,14040,14040,"201 2ND AVENUE WEST, PRINCE RUPERT",,,54.314528,-130.323194,bc_csr_centroid,medium,0,0,0,0,0,0,0
31,10823,10823,"8051 AND 8100 RIVER ROAD, RICHMOND",,,49.189333,-123.135139,bc_csr_centroid,medium,34,0,34,0,0,34,0
32,6703,6703,"3032 GLADYS AVENUE, ABBOTSFORD",,,49.057250,-122.284972,bc_csr_centroid,medium,132,0,132,0,0,132,0
33,10186,10186,"3051 ALLENBY ROAD, DUNCAN",,,48.768794,-123.706528,bc_csr_centroid,medium,39,0,39,0,0,39,0
34,11142,11142,TOWN AND COUNTRY (MOT PROPERTY),,,48.453594,-123.375708,bc_csr_centroid,medium,0,0,0,0,0,0,0
35,13191,13191 goldstream spill,GOLDSTREAM PARK FUEL SPILL,,,48.475072,-123.549825,bc_csr_centroid,medium,0,0,0,0,0,0,0
36,15206,15206,"9410, 9450 & 9464 RIVER ROAD, DELTA",,,49.152281,-122.962167,bc_csr_centroid,medium,0,0,0,0,0,0,0
37,16089,16089,SMITH AVENUE ADJACENT 534 SMITH AVENUE,,,49.260333,-122.889889,bc_csr_centroid,medium,0,0,0,0,0,0,0
38,19783,19783,"522 SMITH AVENUE, COQUITLAM",,,49.259944,-122.890500,bc_csr_centroid,medium,0,0,0,0,0,0,0
39,21293,21293,"19511 92 AVENUE, SURREY",,,49.170972,-122.681389,bc_csr_centroid,medium,0,0,0,0,0,0,0
40,21560,21560,"201 DUNCAN STREET, NEW WESTMINSTER",,,49.195833,-122.933333,bc_csr_centroid,medium,18,0,18,0,0,18,16
41,22599,22599,RIVERSIDE DRIVE AND DOLLARTON HIGHWAY,,,49.305278,-123.019306,bc_csr_centroid,medium,6,0,6,0,0,6,4
42,22665,22665,"166-172 RIVERSIDE DRIVE, NORTH VANCOUVER",,,49.304944,-123.019278,bc_csr_centroid,medium,6,0,6,0,0,6,4
43,24054,24054,"610,618,624HERALD ST&611,629,635 CHATHAM",,,48.430589,-123.366164,bc_csr_centroid,medium,1,0,1,0,0,1,0
44,25553,25553,"LOT 9, PRINCE RUPERT",,,54.318611,-130.316111,bc_csr_centroid,medium,1,0,1,0,0,1,0
45,5805,5805,SHELL - 194 RIVERSIDE DRIVE,,,49.305167,-123.019306,bc_csr_centroid,medium,6,0,6,0,0,6,4
46,9539,9539,CANADIAN AUTOPARTS TOYOTA INC.,,,49.135056,-123.022556,bc_csr_centroid,medium,0,0,0,0,0,0,0
47,9823,9823,9345 AND 9365 RIVER ROAD,,,49.152081,-122.961825,bc_csr_centroid,medium,1,0,1,0,0,1,0
48,5184,5184,"5120 CORDOVA BAY ROAD, VICTORIA",,,48.522583,-123.368056,bc_csr_centroid,medium,0,0,0,0,0,0,0
49,6137,6137 brilliant,CP RAIL - BRILLIANT SIDING,,,49.318611,-117.634444,bc_csr_centroid,medium,77,0,77,0,0,77,151
50,2404,2404,ECOWASTE INDUSTRIES,,,49.154653,-123.048194,bc_csr_centroid,medium,1,0,1,0,0,1,8
51,16210,16210,GREENWOOD ST ADJ 7000-7090 LOUGHEED HWY,,,49.256278,-122.960650,bc_csr_centroid,medium,0,0,0,0,0,0,0
52,18802,18802,"208 CONWAY STREET, STEWART",,,55.933700,-129.988197,bc_csr_centroid,medium,0,0,0,0,0,0,0
53,19486,19486,"6932 AND 6934 GREENWOOD STREET, BURNABY",,,49.255833,-122.960639,bc_csr_centroid,medium,0,0,0,0,0,0,0
54,19487,19487,"6952 GREENWOOD STREET, BURNABY",,,49.255722,-122.960222,bc_csr_centroid,medium,0,0,0,0,0,0,0
55,24292,24292,"7045 GREENWOOD STREET, BURNABY",,,49.256389,-122.957500,bc_csr_centroid,medium,0,0,0,0,0,0,0
56,26217,26217,"7071 GREENWOOD STREET, BURNABY BC",,,49.256389,-122.957222,bc_csr_centroid,medium,0,0,0,0,0,0,0
58,13099,13099,"603 CLARKE ROAD, COQUITLAM",,,49.263467,-122.888044,bc_csr_centroid,medium,0,0,0,0,0,0,0
59,11250,11250,"2124 AND 2126 NORTHFIELD ROAD, NANAIMO",,,49.192417,-123.990278,bc_csr_centroid,medium,13,0,13,0,0,13,5
60,18911,18911,"2925 DOUGLAS STREET, VICTORIA",,,48.442306,-123.368694,bc_csr_centroid,medium,21,0,21,0,0,21,0
61,10026,10026,"1943 HASTINGS STREET, VANCOUVER",,,49.281472,-123.064306,bc_csr_centroid,medium,0,0,0,0,0,0,0
62,1244,1244,LOT1 DL541 GROUP1 DP EPP133179,,,49.279528,-123.111889,bc_csr_centroid,medium,0,0,0,0,0,0,0
